input_element,input_weakness,option_1,option_2,option_3,option_4,option_5,ideal_choice
Colorless,Fighting,Lightning,Metal,Colorless,Fighting,Darkness,Fighting
Fighting,Grass,Darkness,Metal,Metal,Psychic,Water,Grass
Colorless,Fighting,Colorless,Grass,Lightning,Fire,Water,Fighting
Water,Lightning,Water,Psychic,Metal,Psychic,Colorless,Lightning
Lightning,Fighting,Lightning,Metal,Grass,Fighting,Fire,Fighting
Fire,Lightning,Fire,Lightning,Water,Fire,Lightning,Lightning
Water,Lightning,Metal,Colorless,Lightning,Darkness,Grass,Lightning
Colorless,Fighting,Colorless,Colorless,Lightning,Fire,Water,Fighting
Lightning,Fighting,Darkness,Lightning,Grass,Water,Water,Fighting
Fighting,Psychic,Lightning,Water,Grass,Fighting,Colorless,Psychic
Colorless,Fighting,Metal,Lightning,Fighting,Psychic,Colorless,Fighting
Psychic,Darkness,Colorless,Water,Fighting,Colorless,Grass,Darkness
Fighting,Psychic,Water,Lightning,Lightning,Fire,Psychic,Psychic
Lightning,Lightning,Water,Darkness,Psychic,Lightning,Fighting,Lightning
Psychic,Darkness,Metal,Fire,Fire,Psychic,Fire,Darkness
Water,Lightning,Darkness,Lightning,Grass,Fire,Fighting,Lightning
Psychic,Darkness,Darkness,Darkness,Fighting,Fire,Fighting,Darkness
Lightning,Fighting,Darkness,Darkness,Water,Darkness,Water,Fighting
Fire,Water,Psychic,Grass,Darkness,Lightning,Colorless,Water
Fire,Lightning,Grass,Darkness,Metal,Fire,Fire,Lightning
Fire,Lightning,Water,Fire,Water,Grass,Grass,Lightning
Colorless,Fighting,Water,Fighting,Water,Psychic,Fighting,Fighting
Water,Lightning,Darkness,Metal,Fire,Psychic,Grass,Lightning
Metal,Fire,Darkness,Fighting,Fighting,Water,Grass,Fire
Grass,Fire,Fighting,Colorless,Fighting,Psychic,Water,Fire
Fire,Water,Grass,Psychic,Lightning,Grass,Psychic,Water
Fighting,Grass,Water,Lightning,Water,Grass,Grass,Grass
Colorless,Fighting,Fighting,Colorless,Psychic,Fighting,Psychic,Fighting
Lightning,Fighting,Water,Water,Colorless,Colorless,Grass,Fighting
Water,Lightning,Fire,Metal,Fire,Psychic,Fire,Lightning
Lightning,Lightning,Darkness,Psychic,Psychic,Fire,Darkness,Lightning
Fighting,Psychic,Fighting,Grass,Fire,Fighting,Darkness,Psychic
Psychic,Darkness,Psychic,Fighting,Metal,Lightning,Grass,Darkness
Colorless,Fighting,Grass,Grass,Fire,Fighting,Lightning,Fighting
Psychic,Darkness,Grass,Fighting,Metal,Metal,Darkness,Darkness
Psychic,Darkness,Colorless,Metal,Fighting,Fighting,Fighting,Darkness
Fighting,Grass,Fighting,Water,Lightning,Fighting,Darkness,Grass
Water,Lightning,Darkness,Fire,Metal,Grass,Colorless,Lightning
Water,Lightning,Metal,Grass,Fire,Lightning,Fighting,Lightning
Colorless,Fighting,Grass,Fighting,Colorless,Lightning,Darkness,Fighting
Fighting,Grass,Fighting,Fire,Colorless,Fire,Lightning,Grass
Darkness,Fighting,Fighting,Water,Darkness,Fire,Fire,Fighting
Fire,Water,Metal,Lightning,Water,Psychic,Colorless,Water
Colorless,Fighting,Psychic,Metal,Fire,Lightning,Water,Fighting
Fighting,Grass,Metal,Water,Colorless,Grass,Psychic,Grass
Lightning,Fighting,Fire,Fighting,Water,Fighting,Darkness,Fighting
Lightning,Lightning,Colorless,Lightning,Fighting,Fighting,Darkness,Lightning
Fighting,Grass,Metal,Fire,Metal,Colorless,Psychic,Grass
Fire,Lightning,Metal,Darkness,Grass,Metal,Fire,Lightning
Grass,Fire,Fire,Water,Water,Darkness,Fire,Fire
Lightning,Lightning,Colorless,Fire,Metal,Psychic,Psychic,Lightning
Lightning,Lightning,Psychic,Darkness,Psychic,Psychic,Water,Lightning
Fire,Water,Lightning,Colorless,Water,Colorless,Grass,Water
Fire,Water,Lightning,Grass,Grass,Grass,Psychic,Water
Fire,Water,Water,Water,Water,Fighting,Psychic,Water
Psychic,Darkness,Fire,Colorless,Water,Fighting,Fire,Darkness
Colorless,Fighting,Water,Fire,Fire,Darkness,Metal,Fighting
Grass,Fire,Fighting,Darkness,Water,Water,Grass,Fire
Grass,Fire,Psychic,Fighting,Fire,Lightning,Psychic,Fire
Water,Metal,Fighting,Darkness,Psychic,Fire,Metal,Metal
Water,Lightning,Fighting,Darkness,Darkness,Grass,Water,Lightning
Darkness,Fighting,Water,Fighting,Fighting,Lightning,Fire,Fighting
Fighting,Grass,Lightning,Water,Metal,Fire,Fire,Grass
Colorless,Fighting,Psychic,Metal,Darkness,Fire,Colorless,Fighting
Water,Lightning,Grass,Fire,Metal,Water,Fire,Lightning
Lightning,Fighting,Metal,Water,Fighting,Grass,Metal,Fighting
Lightning,Fighting,Fire,Grass,Lightning,Colorless,Water,Fighting
Fighting,Psychic,Metal,Psychic,Colorless,Fire,Grass,Psychic
Fire,Lightning,Metal,Fighting,Psychic,Darkness,Fighting,Lightning
Colorless,Lightning,Metal,Darkness,Grass,Grass,Metal,Lightning
Fighting,Psychic,Darkness,Fire,Psychic,Grass,Grass,Psychic
Grass,Fire,Psychic,Water,Lightning,Colorless,Fire,Fire
Psychic,Darkness,Water,Grass,Water,Fighting,Fighting,Darkness
Psychic,Metal,Water,Grass,Darkness,Lightning,Grass,Metal
Colorless,Lightning,Water,Lightning,Psychic,Fighting,Psychic,Lightning
Psychic,Metal,Psychic,Grass,Lightning,Water,Lightning,Metal
Fighting,Psychic,Psychic,Fighting,Psychic,Metal,Lightning,Psychic
Colorless,Fighting,Lightning,Darkness,Lightning,Colorless,Psychic,Fighting
Lightning,Fighting,Darkness,Fire,Fire,Darkness,Water,Fighting
Water,Lightning,Metal,Fire,Grass,Water,Metal,Lightning
Psychic,Darkness,Metal,Metal,Psychic,Darkness,Fighting,Darkness
Lightning,Fighting,Fighting,Lightning,Psychic,Grass,Lightning,Fighting
Colorless,Lightning,Psychic,Grass,Psychic,Psychic,Darkness,Lightning
Grass,Fire,Metal,Water,Fighting,Psychic,Fighting,Fire
Water,Lightning,Fire,Metal,Fire,Lightning,Lightning,Lightning
Colorless,Fighting,Fire,Fighting,Psychic,Darkness,Fighting,Fighting
Lightning,Lightning,Lightning,Fire,Lightning,Metal,Water,Lightning
Darkness,Fighting,Metal,Fire,Psychic,Water,Grass,Fighting
Fighting,Grass,Grass,Lightning,Colorless,Fire,Colorless,Grass
Fighting,Psychic,Water,Fire,Grass,Fighting,Psychic,Psychic
Fighting,Psychic,Grass,Water,Psychic,Fighting,Darkness,Psychic
Metal,Fire,Fire,Metal,Fire,Colorless,Colorless,Fire
Grass,Fire,Colorless,Water,Psychic,Colorless,Water,Fire
Fighting,Grass,Psychic,Water,Fighting,Colorless,Metal,Grass
Fire,Water,Fighting,Fire,Water,Darkness,Colorless,Water
Lightning,Fighting,Metal,Metal,Grass,Colorless,Psychic,Fighting
Psychic,Darkness,Psychic,Fire,Lightning,Lightning,Lightning,Darkness
Grass,Fire,Fighting,Water,Water,Psychic,Fire,Fire
Water,Lightning,Lightning,Grass,Lightning,Metal,Grass,Lightning
Fire,Lightning,Lightning,Fire,Water,Psychic,Lightning,Lightning
Psychic,Darkness,Metal,Fire,Lightning,Psychic,Fire,Darkness
Fighting,Psychic,Water,Colorless,Fire,Fighting,Psychic,Psychic
Colorless,Lightning,Fire,Lightning,Lightning,Metal,Water,Lightning
Water,Lightning,Water,Fire,Psychic,Darkness,Metal,Lightning
Psychic,Darkness,Water,Fighting,Water,Lightning,Metal,Darkness
Grass,Fire,Grass,Water,Lightning,Water,Metal,Fire
Fighting,Grass,Lightning,Water,Water,Grass,Metal,Grass
Lightning,Fighting,Lightning,Psychic,Grass,Water,Lightning,Fighting
Colorless,Fighting,Metal,Metal,Grass,Psychic,Fighting,Fighting
Grass,Fire,Fire,Fighting,Psychic,Psychic,Water,Fire
Colorless,Fighting,Fighting,Fire,Darkness,Water,Lightning,Fighting
Colorless,Fighting,Lightning,Metal,Fire,Darkness,Lightning,Fighting
Fire,Water,Grass,Fighting,Fire,Fire,Fighting,Water
Colorless,Fighting,Grass,Lightning,Colorless,Psychic,Water,Fighting
Water,Metal,Fighting,Fighting,Fire,Fire,Colorless,Metal
Grass,Fire,Grass,Grass,Darkness,Darkness,Lightning,Fire
Water,Lightning,Metal,Grass,Lightning,Colorless,Metal,Lightning
Grass,Fire,Fighting,Fighting,Water,Fighting,Fighting,Fire
Psychic,Darkness,Darkness,Grass,Grass,Lightning,Water,Darkness
Psychic,Darkness,Grass,Fire,Psychic,Darkness,Darkness,Darkness
Fighting,Grass,Colorless,Lightning,Lightning,Lightning,Lightning,Grass
Fire,Lightning,Grass,Water,Fire,Grass,Grass,Lightning
Fighting,Grass,Psychic,Lightning,Lightning,Darkness,Lightning,Grass
Fighting,Grass,Grass,Lightning,Metal,Darkness,Water,Grass
Grass,Fire,Fighting,Grass,Psychic,Darkness,Colorless,Fire
Colorless,Fighting,Grass,Fighting,Lightning,Colorless,Darkness,Fighting
Lightning,Fighting,Fighting,Water,Darkness,Colorless,Lightning,Fighting
Fire,Lightning,Fighting,Colorless,Darkness,Fighting,Psychic,Lightning
Metal,Fire,Fighting,Darkness,Lightning,Colorless,Metal,Fire
Lightning,Fighting,Fighting,Fire,Metal,Fire,Fire,Fighting
Fighting,Grass,Metal,Psychic,Lightning,Water,Water,Grass
Colorless,Fighting,Fire,Colorless,Water,Darkness,Colorless,Fighting
Fire,Lightning,Metal,Lightning,Fire,Lightning,Darkness,Lightning
Colorless,Fighting,Water,Fighting,Fire,Water,Lightning,Fighting
Colorless,Lightning,Fighting,Colorless,Darkness,Fighting,Grass,Lightning
Lightning,Fighting,Darkness,Lightning,Fire,Metal,Lightning,Fighting
Grass,Fire,Psychic,Fire,Lightning,Colorless,Grass,Fire
Psychic,Darkness,Darkness,Darkness,Fire,Metal,Darkness,Darkness
Fighting,Psychic,Grass,Colorless,Metal,Lightning,Lightning,Psychic
Water,Lightning,Metal,Fighting,Metal,Psychic,Colorless,Lightning
Metal,Fire,Fighting,Metal,Psychic,Grass,Fighting,Fire
Darkness,Fighting,Fighting,Fighting,Psychic,Fighting,Grass,Fighting
Water,Lightning,Water,Darkness,Darkness,Metal,Fighting,Lightning
Fighting,Psychic,Metal,Colorless,Fire,Metal,Darkness,Psychic
Psychic,Darkness,Darkness,Colorless,Grass,Grass,Darkness,Darkness
Water,Lightning,Fighting,Psychic,Colorless,Darkness,Fighting,Lightning
Lightning,Fighting,Fire,Fighting,Fighting,Metal,Lightning,Fighting
Fire,Lightning,Metal,Lightning,Fighting,Water,Fire,Lightning
Grass,Fire,Lightning,Psychic,Psychic,Darkness,Grass,Fire
Lightning,Lightning,Fighting,Water,Fire,Fire,Grass,Lightning
Water,Lightning,Colorless,Fire,Water,Metal,Metal,Lightning
Lightning,Fighting,Water,Grass,Colorless,Fire,Fighting,Fighting
Water,Metal,Darkness,Darkness,Metal,Darkness,Fighting,Metal
Darkness,Fighting,Grass,Grass,Grass,Metal,Darkness,Fighting
Psychic,Darkness,Water,Grass,Darkness,Water,Darkness,Darkness
Water,Lightning,Colorless,Water,Psychic,Colorless,Lightning,Lightning
Fire,Water,Metal,Fire,Darkness,Colorless,Lightning,Water
Psychic,Darkness,Fighting,Psychic,Fighting,Fighting,Colorless,Darkness
Psychic,Metal,Fire,Fighting,Grass,Fire,Water,Metal
Colorless,Fighting,Psychic,Fighting,Water,Colorless,Grass,Fighting
Colorless,Fighting,Grass,Colorless,Psychic,Metal,Colorless,Fighting
Colorless,Fighting,Metal,Water,Colorless,Fighting,Psychic,Fighting
Psychic,Darkness,Metal,Fighting,Lightning,Psychic,Water,Darkness
Water,Lightning,Colorless,Lightning,Metal,Fighting,Water,Lightning
Colorless,Fighting,Grass,Water,Water,Darkness,Colorless,Fighting
Water,Lightning,Grass,Metal,Colorless,Psychic,Grass,Lightning
Grass,Fire,Colorless,Fighting,Water,Metal,Water,Fire
Grass,Fire,Darkness,Fighting,Metal,Colorless,Darkness,Fire
Grass,Fire,Fighting,Darkness,Colorless,Lightning,Grass,Fire
Water,Lightning,Grass,Darkness,Lightning,Metal,Colorless,Lightning
Water,Lightning,Grass,Darkness,Grass,Lightning,Metal,Lightning
Darkness,Fighting,Metal,Lightning,Fire,Lightning,Metal,Fighting
Lightning,Fighting,Psychic,Metal,Darkness,Psychic,Darkness,Fighting
Colorless,Fighting,Lightning,Lightning,Water,Psychic,Fire,Fighting
Water,Lightning,Lightning,Grass,Water,Lightning,Fighting,Lightning
Psychic,Darkness,Metal,Fire,Water,Colorless,Lightning,Darkness
Water,Metal,Psychic,Colorless,Darkness,Colorless,Colorless,Metal
Water,Lightning,Water,Darkness,Fighting,Fighting,Water,Lightning
Metal,Fire,Grass,Fighting,Psychic,Water,Fighting,Fire
Psychic,Darkness,Fire,Fire,Darkness,Lightning,Lightning,Darkness
Lightning,Fighting,Colorless,Fire,Lightning,Grass,Metal,Fighting
Psychic,Darkness,Fire,Lightning,Metal,Metal,Water,Darkness
Colorless,Fighting,Grass,Fire,Fire,Fire,Psychic,Fighting
Grass,Fire,Lightning,Colorless,Psychic,Lightning,Colorless,Fire
Water,Lightning,Darkness,Fire,Grass,Grass,Grass,Lightning
Fire,Water,Fire,Colorless,Grass,Lightning,Grass,Water
Fighting,Grass,Grass,Lightning,Water,Water,Grass,Grass
Water,Lightning,Fire,Metal,Water,Lightning,Darkness,Lightning
Lightning,Fighting,Fighting,Water,Darkness,Water,Fighting,Fighting
Lightning,Lightning,Darkness,Lightning,Colorless,Grass,Lightning,Lightning
Darkness,Fighting,Psychic,Water,Colorless,Fire,Grass,Fighting
Lightning,Fighting,Fighting,Fighting,Fighting,Fighting,Psychic,Fighting
Lightning,Lightning,Fighting,Fire,Darkness,Colorless,Psychic,Lightning
Lightning,Lightning,Metal,Lightning,Fighting,Colorless,Fire,Lightning
Water,Lightning,Grass,Psychic,Darkness,Darkness,Darkness,Lightning
Fire,Water,Water,Colorless,Colorless,Metal,Colorless,Water
Darkness,Fighting,Psychic,Darkness,Darkness,Lightning,Water,Fighting
Colorless,Fighting,Metal,Water,Darkness,Fighting,Metal,Fighting
Grass,Fire,Grass,Fire,Darkness,Fire,Psychic,Fire
Psychic,Darkness,Colorless,Lightning,Metal,Grass,Darkness,Darkness
Colorless,Lightning,Metal,Water,Grass,Water,Water,Lightning
Fire,Water,Darkness,Lightning,Fire,Water,Darkness,Water
Water,Lightning,Darkness,Darkness,Colorless,Grass,Grass,Lightning
Lightning,Fighting,Metal,Fighting,Colorless,Grass,Fighting,Fighting
Water,Lightning,Metal,Fire,Colorless,Darkness,Fighting,Lightning
Lightning,Fighting,Colorless,Metal,Grass,Fire,Grass,Fighting
Grass,Fire,Metal,Grass,Metal,Fire,Fire,Fire
Water,Lightning,Grass,Fighting,Grass,Grass,Metal,Lightning
Lightning,Fighting,Colorless,Water,Colorless,Fighting,Water,Fighting
Fighting,Grass,Metal,Colorless,Grass,Water,Water,Grass
Water,Lightning,Colorless,Fire,Water,Colorless,Fire,Lightning
Water,Lightning,Fighting,Psychic,Grass,Fire,Colorless,Lightning
Psychic,Darkness,Water,Lightning,Grass,Darkness,Grass,Darkness
Lightning,Lightning,Metal,Darkness,Darkness,Lightning,Lightning,Lightning
Lightning,Fighting,Lightning,Colorless,Colorless,Darkness,Lightning,Fighting
Colorless,Lightning,Psychic,Psychic,Metal,Fighting,Psychic,Lightning
Fire,Lightning,Lightning,Fire,Lightning,Water,Colorless,Lightning
Psychic,Darkness,Darkness,Fighting,Lightning,Water,Lightning,Darkness
Fighting,Psychic,Grass,Metal,Colorless,Psychic,Grass,Psychic
Water,Lightning,Colorless,Lightning,Fighting,Darkness,Metal,Lightning
Colorless,Fighting,Fighting,Fighting,Grass,Fighting,Fire,Fighting
Lightning,Fighting,Fire,Darkness,Colorless,Darkness,Colorless,Fighting
Colorless,Fighting,Grass,Fighting,Darkness,Water,Fighting,Fighting
Lightning,Fighting,Grass,Fighting,Fighting,Fire,Water,Fighting
Lightning,Fighting,Metal,Fire,Fighting,Colorless,Fire,Fighting
Colorless,Fighting,Fighting,Lightning,Psychic,Metal,Psychic,Fighting
Fighting,Psychic,Grass,Fighting,Fighting,Grass,Fire,Psychic
Colorless,Fighting,Grass,Lightning,Psychic,Colorless,Water,Fighting
Water,Lightning,Darkness,Metal,Metal,Darkness,Metal,Lightning
Lightning,Fighting,Grass,Lightning,Psychic,Grass,Fighting,Fighting
Fire,Water,Psychic,Fire,Water,Colorless,Psychic,Water
Psychic,Darkness,Grass,Lightning,Fire,Fighting,Grass,Darkness
Fighting,Grass,Fighting,Fighting,Darkness,Metal,Water,Grass
Colorless,Fighting,Fighting,Fire,Metal,Colorless,Fighting,Fighting
Grass,Fire,Psychic,Water,Psychic,Lightning,Psychic,Fire
Colorless,Fighting,Psychic,Colorless,Fire,Fighting,Darkness,Fighting
Grass,Fire,Fighting,Fighting,Darkness,Metal,Fighting,Fire
Water,Lightning,Metal,Fighting,Lightning,Lightning,Water,Lightning
Psychic,Darkness,Psychic,Psychic,Metal,Grass,Psychic,Darkness
Grass,Fire,Water,Fighting,Water,Colorless,Psychic,Fire
Fighting,Grass,Colorless,Lightning,Colorless,Water,Fighting,Grass
Metal,Fire,Lightning,Colorless,Metal,Fire,Colorless,Fire
Psychic,Darkness,Darkness,Fire,Metal,Darkness,Water,Darkness
Lightning,Fighting,Water,Metal,Colorless,Metal,Grass,Fighting
Lightning,Fighting,Water,Fighting,Colorless,Lightning,Fire,Fighting
Metal,Fire,Metal,Lightning,Fighting,Fire,Grass,Fire
Fighting,Psychic,Grass,Darkness,Colorless,Darkness,Darkness,Psychic
Colorless,Fighting,Darkness,Grass,Darkness,Fighting,Fighting,Fighting
Grass,Fire,Fire,Fire,Darkness,Psychic,Grass,Fire
Darkness,Fighting,Colorless,Fighting,Fighting,Fighting,Darkness,Fighting
Grass,Fire,Grass,Fighting,Grass,Lightning,Fighting,Fire
Grass,Fire,Lightning,Grass,Water,Psychic,Grass,Fire
Fighting,Psychic,Darkness,Fire,Lightning,Metal,Water,Psychic
Grass,Fire,Fire,Psychic,Colorless,Metal,Fighting,Fire
Psychic,Darkness,Grass,Grass,Fighting,Grass,Metal,Darkness
Grass,Fire,Colorless,Psychic,Fighting,Water,Psychic,Fire
Colorless,Fighting,Lightning,Fire,Metal,Fighting,Fire,Fighting
Colorless,Fighting,Water,Psychic,Grass,Grass,Colorless,Fighting
Water,Lightning,Lightning,Fire,Water,Metal,Psychic,Lightning
Water,Lightning,Fighting,Grass,Fighting,Psychic,Psychic,Lightning
Psychic,Darkness,Colorless,Darkness,Psychic,Darkness,Fire,Darkness
Psychic,Darkness,Lightning,Metal,Grass,Water,Darkness,Darkness
Fighting,Psychic,Psychic,Fighting,Lightning,Water,Colorless,Psychic
Metal,Fire,Water,Colorless,Psychic,Fighting,Grass,Fire
Lightning,Lightning,Grass,Grass,Fighting,Lightning,Grass,Lightning
Fire,Water,Darkness,Psychic,Grass,Water,Colorless,Water
Psychic,Darkness,Water,Grass,Psychic,Grass,Colorless,Darkness
Fire,Water,Psychic,Fire,Lightning,Colorless,Grass,Water
Water,Lightning,Grass,Psychic,Colorless,Water,Lightning,Lightning
Fire,Water,Colorless,Water,Darkness,Darkness,Fire,Water
Psychic,Darkness,Metal,Colorless,Colorless,Water,Lightning,Darkness
Fighting,Grass,Metal,Darkness,Fighting,Lightning,Psychic,Grass
Lightning,Fighting,Psychic,Colorless,Fighting,Water,Fire,Fighting
Water,Lightning,Psychic,Grass,Lightning,Water,Colorless,Lightning
Water,Lightning,Colorless,Metal,Metal,Psychic,Fighting,Lightning
Colorless,Fighting,Grass,Fire,Grass,Darkness,Psychic,Fighting
Psychic,Metal,Metal,Darkness,Lightning,Darkness,Fire,Metal
Fighting,Psychic,Fighting,Metal,Lightning,Darkness,Water,Psychic
Psychic,Darkness,Colorless,Fire,Lightning,Fire,Lightning,Darkness
Fighting,Psychic,Colorless,Darkness,Water,Colorless,Darkness,Psychic
Psychic,Darkness,Psychic,Fighting,Metal,Metal,Fighting,Darkness
Water,Lightning,Metal,Lightning,Fire,Fire,Grass,Lightning
Darkness,Fighting,Lightning,Water,Colorless,Lightning,Water,Fighting
Colorless,Fighting,Darkness,Psychic,Psychic,Colorless,Colorless,Fighting
Psychic,Darkness,Psychic,Colorless,Fighting,Colorless,Psychic,Darkness
Colorless,Fighting,Lightning,Psychic,Psychic,Fighting,Lightning,Fighting
Colorless,Lightning,Fire,Metal,Fire,Grass,Fire,Lightning
Colorless,Fighting,Water,Lightning,Lightning,Water,Water,Fighting
Water,Lightning,Darkness,Fighting,Grass,Fighting,Fighting,Lightning
Water,Lightning,Lightning,Fire,Lightning,Psychic,Darkness,Lightning
Fighting,Grass,Darkness,Grass,Grass,Fire,Fire,Grass
Darkness,Fighting,Fire,Fighting,Water,Darkness,Metal,Fighting
Grass,Fire,Fire,Colorless,Psychic,Water,Fire,Fire
Water,Lightning,Water,Fire,Colorless,Metal,Grass,Lightning
Water,Lightning,Psychic,Fighting,Water,Fire,Fighting,Lightning
Water,Lightning,Darkness,Fire,Darkness,Fire,Water,Lightning
Colorless,Fighting,Darkness,Colorless,Grass,Water,Lightning,Fighting
Water,Lightning,Lightning,Lightning,Fighting,Darkness,Fire,Lightning
Fire,Lightning,Darkness,Water,Lightning,Psychic,Lightning,Lightning
Grass,Fire,Grass,Psychic,Darkness,Lightning,Water,Fire
Fire,Water,Metal,Psychic,Psychic,Darkness,Fire,Water
Colorless,Fighting,Darkness,Fire,Water,Grass,Water,Fighting
Psychic,Darkness,Metal,Psychic,Fighting,Water,Metal,Darkness
Water,Lightning,Metal,Water,Metal,Fighting,Psychic,Lightning
Lightning,Fighting,Grass,Water,Fighting,Grass,Fighting,Fighting
Water,Lightning,Metal,Lightning,Water,Grass,Grass,Lightning
Lightning,Lightning,Colorless,Psychic,Darkness,Darkness,Water,Lightning
Darkness,Fighting,Psychic,Fighting,Fire,Fire,Fire,Fighting
Colorless,Fighting,Darkness,Fighting,Grass,Darkness,Darkness,Fighting
Water,Lightning,Fire,Darkness,Fire,Water,Metal,Lightning
Lightning,Fighting,Lightning,Water,Darkness,Fire,Fighting,Fighting
Colorless,Fighting,Grass,Lightning,Darkness,Metal,Grass,Fighting
Water,Lightning,Psychic,Metal,Grass,Colorless,Grass,Lightning
Colorless,Fighting,Colorless,Grass,Darkness,Water,Grass,Fighting
Colorless,Fighting,Psychic,Metal,Fighting,Grass,Water,Fighting
Water,Lightning,Colorless,Water,Psychic,Darkness,Lightning,Lightning
Fire,Lightning,Metal,Fire,Fire,Fire,Colorless,Lightning
Colorless,Fighting,Lightning,Grass,Colorless,Grass,Psychic,Fighting
Colorless,Lightning,Metal,Fighting,Darkness,Lightning,Grass,Lightning
Grass,Fire,Lightning,Fire,Psychic,Grass,Fire,Fire
Water,Lightning,Metal,Grass,Grass,Psychic,Metal,Lightning
Lightning,Lightning,Fighting,Psychic,Metal,Water,Lightning,Lightning
Grass,Fire,Psychic,Water,Water,Darkness,Fire,Fire
Water,Lightning,Psychic,Metal,Darkness,Darkness,Psychic,Lightning
Fighting,Grass,Darkness,Darkness,Grass,Fighting,Darkness,Grass
Grass,Fire,Lightning,Metal,Fighting,Grass,Water,Fire
Colorless,Lightning,Water,Grass,Fighting,Colorless,Metal,Lightning
Grass,Fire,Water,Fighting,Fire,Fighting,Colorless,Fire
Metal,Fire,Fire,Psychic,Metal,Metal,Colorless,Fire
Colorless,Lightning,Fire,Metal,Fighting,Lightning,Lightning,Lightning
Lightning,Fighting,Lightning,Water,Colorless,Water,Darkness,Fighting
Colorless,Fighting,Darkness,Fighting,Fighting,Water,Darkness,Fighting
Lightning,Lightning,Metal,Darkness,Water,Fire,Darkness,Lightning
Psychic,Darkness,Water,Lightning,Colorless,Lightning,Fire,Darkness
Psychic,Darkness,Water,Lightning,Psychic,Fire,Psychic,Darkness
Fire,Lightning,Fire,Water,Grass,Water,Metal,Lightning
Fire,Lightning,Fire,Grass,Colorless,Colorless,Lightning,Lightning
Grass,Fire,Metal,Water,Fire,Colorless,Fire,Fire
Water,Lightning,Fire,Water,Water,Fire,Lightning,Lightning
Psychic,Darkness,Psychic,Psychic,Water,Psychic,Water,Darkness
Grass,Fire,Water,Metal,Fire,Psychic,Darkness,Fire
Grass,Fire,Fighting,Fire,Psychic,Lightning,Lightning,Fire
Water,Lightning,Lightning,Fighting,Fire,Darkness,Psychic,Lightning
Psychic,Darkness,Colorless,Psychic,Lightning,Colorless,Darkness,Darkness
Grass,Fire,Metal,Fire,Water,Colorless,Colorless,Fire
Colorless,Lightning,Fighting,Lightning,Grass,Psychic,Darkness,Lightning
Grass,Fire,Lightning,Metal,Darkness,Darkness,Psychic,Fire
Water,Lightning,Darkness,Water,Water,Psychic,Water,Lightning
Darkness,Fighting,Water,Metal,Fighting,Metal,Grass,Fighting
Darkness,Fighting,Colorless,Metal,Colorless,Fighting,Colorless,Fighting
Fighting,Grass,Psychic,Metal,Psychic,Water,Psychic,Grass
Fire,Lightning,Water,Fighting,Psychic,Fighting,Lightning,Lightning
Fire,Water,Colorless,Grass,Fire,Fighting,Psychic,Water
Darkness,Fighting,Fighting,Colorless,Lightning,Grass,Lightning,Fighting
Fighting,Grass,Fighting,Fighting,Metal,Water,Colorless,Grass
Water,Lightning,Water,Metal,Metal,Fire,Darkness,Lightning
Colorless,Fighting,Fire,Colorless,Colorless,Metal,Darkness,Fighting
Lightning,Lightning,Colorless,Lightning,Colorless,Metal,Grass,Lightning
Water,Lightning,Fire,Psychic,Metal,Water,Water,Lightning
Grass,Fire,Grass,Metal,Colorless,Colorless,Darkness,Fire
Lightning,Fighting,Grass,Metal,Fire,Metal,Fire,Fighting
Colorless,Fighting,Colorless,Lightning,Lightning,Metal,Darkness,Fighting
Colorless,Lightning,Metal,Metal,Darkness,Grass,Lightning,Lightning
Psychic,Metal,Darkness,Fighting,Darkness,Colorless,Water,Metal
Colorless,Fighting,Fighting,Lightning,Water,Grass,Metal,Fighting
Grass,Fire,Grass,Metal,Fighting,Grass,Fighting,Fire
Colorless,Fighting,Water,Fire,Water,Fire,Lightning,Fighting
Fire,Lightning,Psychic,Metal,Darkness,Lightning,Fire,Lightning
Colorless,Fighting,Grass,Fire,Metal,Water,Darkness,Fighting
Psychic,Darkness,Grass,Darkness,Fighting,Colorless,Grass,Darkness
Darkness,Fighting,Lightning,Metal,Lightning,Fighting,Fire,Fighting
Water,Lightning,Fire,Water,Fire,Colorless,Fire,Lightning
Psychic,Darkness,Grass,Colorless,Colorless,Lightning,Fire,Darkness
Fire,Lightning,Fighting,Grass,Lightning,Metal,Psychic,Lightning
Fire,Lightning,Psychic,Metal,Fire,Darkness,Fighting,Lightning
Colorless,Fighting,Metal,Grass,Grass,Psychic,Fighting,Fighting
Fire,Lightning,Water,Water,Fighting,Grass,Water,Lightning
Fire,Water,Fighting,Fire,Metal,Metal,Fighting,Water
Fighting,Psychic,Fire,Fire,Fire,Fighting,Colorless,Psychic
Grass,Fire,Darkness,Colorless,Water,Lightning,Metal,Fire
Fire,Water,Fire,Fire,Grass,Psychic,Darkness,Water
Colorless,Fighting,Grass,Water,Lightning,Fighting,Fighting,Fighting
Fighting,Grass,Lightning,Fighting,Grass,Metal,Colorless,Grass
Lightning,Fighting,Metal,Fighting,Fire,Water,Lightning,Fighting
Psychic,Darkness,Lightning,Grass,Lightning,Colorless,Water,Darkness
Lightning,Fighting,Fighting,Fire,Grass,Grass,Darkness,Fighting
Fire,Water,Fire,Colorless,Darkness,Grass,Grass,Water
Fire,Lightning,Water,Fighting,Fire,Water,Fire,Lightning
Colorless,Fighting,Metal,Fighting,Darkness,Darkness,Metal,Fighting
